gene_id	tpm_mean
EG10263	563.883333333
EG10264	651.74
EG10265	652.393333333
EG10266	2.22333333333
EG10267	4.22333333333
EG10268	6.44666666667
EG10269	47.75
EG10270	158.586666667
EG10271	1318.99333333
EG10272	1334.17
EG10273	427.41
EG10274	467.453333333
EG10275	723.55
EG10276	394.41
EG10277	284.01
EG10278	4.54666666667
EG10279	2.66333333333
EG10280	118.286666667
EG10281	103.843333333
EG10282	1229.18666667
EG10283	285.893333333
EG10284	90.2266666667
EG10285	12.4366666667
EG10286	117.176666667
EG10287	69.55
EG10288	25.9866666667
EG10289	14.13
EG10290	49.0466666667
EG10291	1196.24333333
EG10292	332.396666667
EG10293	1023.44
EG10294	185.91
EG10295	107.45
EG10296	68.7466666667
EG10297	9.1
EG10298	49.39
EG10299	447.806666667
EG10300	201.463333333
EG10301	5.94
EG10302	527.513333333
EG10303	35.3166666667
EG10304	84.4433333333
EG10305	82.7333333333
EG10306	317.506666667
EG10307	14.2633333333
EG10308	593.75
EG10309	100.406666667
EG10310	41.8966666667
EG10311	11.4066666667
EG10312	5.12
EG10313	11.1733333333
EG10314	15.78
EG10315	12.9833333333
EG10316	671.283333333
EG10317	713.053333333
EG10318	563.59
EG10319	88.7133333333
EG10320	143.676666667
EG10321	11828.2366667
EG10322	534.273333333
EG10323	438.39
EG10324	228.653333333
EG10325	332.393333333
EG10326	52.9766666667
EG10327	56.7666666667
EG10328	205.31
EG10329	14.8366666667
EG10330	693.993333333
EG10331	265.72
EG10332	141.0
EG10333	123.086666667
EG10334	139.673333333
EG10335	1015.00333333
EG10336	37.2
EG10337	129.0
EG10338	80.8866666667
EG10339	99.53
EG10340	90.3766666667
EG10341	102.093333333
EG10342	199.773333333
EG10343	69.5833333333
EG10344	88.27
EG10345	54.81
EG10346	103.523333333
EG10347	411.593333333
EG10348	4.01333333333
EG10349	4.12333333333
EG10350	8.82
EG10351	7.34
EG10352	1.59666666667
EG10353	31.2766666667
EG10355	45.12
EG10356	37.6466666667
EG10357	10.6566666667
EG10358	16.7566666667
EG10359	865.48
EG10360	7198.05333333
EG10361	5.71
EG10362	86.55
EG10363	115.763333333
EG10364	57.87
EG10365	2.08
EG10366	52.55
EG10367	7888.78
EG10368	703.51
EG10369	128.966666667
EG10370	306.363333333
EG10371	206.63
EG10372	286.186666667
EG10373	16.8733333333
EG10374	7.22666666667
EG10375	51.1466666667
EG10376	57.2633333333
EG10377	71.9233333333
EG10378	104.803333333
EG10379	141.866666667
EG10380	81.93
EG10381	75.1933333333
EG10382	370.206666667
EG10383	952.91
EG10384	192.53
EG10385	76.71
EG10386	615.256666667
EG10387	76.7166666667
EG10388	177.933333333
EG10389	211.096666667
EG10390	319.596666667
EG10391	954.676666667
EG10392	326.513333333
EG10393	76.2433333333
EG10394	2046.05666667
EG10395	80.05
EG10396	93.7233333333
EG10397	50.6433333333
EG10398	268.623333333
EG10399	104.166666667
EG10400	32.1633333333
EG10401	81.4066666667
EG10402	406.483333333
EG10403	345.256666667
EG10404	387.68
EG10405	73.8966666667
EG10406	19.2233333333
EG10407	414.416666667
EG10408	1212.31666667
EG10409	477.88
EG10410	389.693333333
EG10411	1054.04333333
EG10412	123.653333333
EG10413	145.686666667
EG10414	87.1966666667
EG10415	109.16
EG10416	771.89
EG10417	42.74
EG10418	186.973333333
EG10419	151.97
EG10420	661.426666667
EG10421	257.41
EG10422	227.216666667
EG10423	270.816666667
EG10424	199.756666667
EG10425	81.3433333333
EG10426	57.6033333333
EG10427	60.2333333333
EG10428	136.006666667
EG10429	205.343333333
EG10430	155.77
EG10431	36.2
EG10432	168.296666667
EG10433	153.173333333
EG10434	122.246666667
EG10435	343.183333333
EG10436	348.903333333
EG10437	262.836666667
EG10438	1493.37
EG10439	695.446666667
EG10440	999.99
EG10441	808.79
EG10442	39.97
EG10443	22.69
EG10444	51.2033333333
EG10445	120.076666667
