Proteins	Genes	Accession-1 of Gene	Common-Name
DINF-MONOMER	EG11491	b4044	dinF
MONOMER-4565	EG50003	b1094	acpP
EG11383-MONOMER	EG11383	b3209	elbB
G7885-MONOMER	G7885	b4255	rraB
MALTACETYLTRAN-MONOMER	G58	b0459	maa
G7338-MONOMER	G7338	b2544	yphB
EG12133-MONOMER	EG12133	b2426	ucpA
YHIP-MONOMER	EG12232	b3496	dtpB
G6144-MONOMER	G6144	b0272	xynR
RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	EG11417	b4238	nrdD
EG11645-MONOMER	EG11645	b1537	ydeJ
EG10013-MONOMER	EG10013	b1856	mepM
PGLYCEROLTRANSI-MONOMER	EG12591	b4359	opgB
G6580-MONOMER	G6580	b1134	nudJ
EG10322-MONOMER	EG10322	b1944	fliL
EG11424-MONOMER	EG11424	b3622	waaL
EG12363-MONOMER	EG12363	b3043	ygiL
EG11850-MONOMER	EG11850	b3885	yihX
EG10087-MONOMER	EG10087	b2714	ascG
G6418-MONOMER	G6418	b0815	opgE
G7876-MONOMER	G7876	b4222	ytfP
EG11033-MONOMER	EG11033	b0170	tsf
NRFC-MONOMER	EG11946	b4072	nrfC
UDPNACETYLGLUCOSAMACYLTRANS-MONOMER	EG10545	b0181	lpxA
PD00214	EG10681	b3961	oxyR
MONOMER0-1501	EG11596	b0782	moaB
ASPARTASE-MONOMER	EG10095	b4139	aspA
G7122-MONOMER	G7122	b2085	yegR
EG10899-MONOMER	EG10899	b3649	rpoZ
G7322-MONOMER	G7322	b2519	pbpC
OX-THIOREDOXIN2-MONOMER	EG11887	b2582	trxC
EG10983-MONOMER	EG10983	b2533	suhB
EG11681-MONOMER	EG11681	b3203	hpf
LEUD-MONOMER	EG11575	b0071	leuD
EG11734-MONOMER	EG11734	b1020	phoH
G6512-MONOMER	G6512	b0991	ymcE
ENOYL-ACP-REDUCT-NADH-MONOMER	EG11528	b1288	fabI
G7028-MONOMER	G7028	b1880	flhB
HISTPHOSTRANS-MONOMER	EG10446	b2021	hisC
BRANCHED-CHAINAMINOTRANSFER-MONOMER	EG10497	b3770	ilvE
EG12200-MONOMER	EG12200	b2069	yegD
GLUSYNLARGE-MONOMER	EG10403	b3212	gltB
EG10434-MONOMER	EG10434	b3802	hemY
EG10360-MONOMER	EG10360	b3340	fusA
RPOS-MONOMER	EG10510	b2741	rpoS
MONOMER0-2858	G0-10632	b4668	ibsB
EG11682-MONOMER	EG11682	b3204	ptsN
G7524-MONOMER	G7524	b2948	yqgE
MONOMER0-4502	G0-17036	b4790	yhiY
PROS-MONOMER	EG10770	b0194	proS
EG11600-MONOMER	EG11600	b2521	sseA
MALSYNG-MONOMER	EG20080	b2976	glcB
EG12297-MONOMER	EG12297	b3613	envC
G6939-MONOMER	G6939	b1743	spy
MONOMER0-4449	G7584	b3045	insD5
EG10119-MONOMER	EG10119	b0777	bioC
EG12707-MONOMER	EG12707	b2749	ygbE
G7019-MONOMER	G7019	b1869	yecN
G7373-MONOMER	G7373	b2638	yfjU
G6301-MONOMER	G6301	b0545	ybcL
EG11886-MONOMER	EG11886	b1049	opgH
EG12341-MONOMER	EG12341	b2572	rseA
EG12318-MONOMER	EG12318	b0123	cueO
THIH-MONOMER	EG11590	b3990	thiH
EG10686-MONOMER	EG10686	b3019	parC
CROBETREDUCT-MONOMER	EG11560	b0039	caiA
MONOMER0-4501	G0-17035	b4789	yhgP
EG11988-MONOMER	EG11988	b2109	yehB
YLID-MONOMER	G6432	b0832	gsiD
MONOMER0-2683	G0-10461	b4545	ypdJ
G7062-MONOMER	G7062	b1974	yodB
MONOMER0-4509	G0-17041	b4795	yibX
MONOMER0-2756	G0-10536	G0-10536	insAB4
G7587-MONOMER	G7587	b3048	yqiI
SERINE-O-ACETTRAN-MONOMER	EG10187	b3607	cysE
EG11239-MONOMER	EG11239	b0766	ybhA
EG12220-MONOMER	EG12220	b3474	yhhT
G6522-MONOMER	G6522	b1011	rutB
G6732-MONOMER	G6732	b1413	hrpA
G6140-MONOMER	G6140	b0268	yagE
EG11535-MONOMER	EG11535	b3686	ibpB
G7310-MONOMER	G7310	b2493	yfgO
EG12288-MONOMER	EG12288	b3584	yiaT
EG10044-MONOMER	EG10044	b1739	osmE
EG10916-MONOMER	EG10916	b3311	rpsQ
G7684-MONOMER	G7684	b3239	yhcO
G6741-MONOMER	G6741	b1428	ydcK
EG11165-MONOMER	EG11165	b3038	ygiC
G7027-MONOMER	G7027	b1878	flhE
G7848-MONOMER	G7848	b4183	yjfK
CIS-DELTA3-DECENOYL-ACP	EG50003	b1094	acpP
EG11525-MONOMER	EG11525	b3484	yhhI
KETOBUTFORMLY-MONOMER	G7627	b3114	tdcE
G6590-MONOMER	G6590	b1146	ymfT
MONOMER0-4253	G7583	b3044	insC5
METI-MONOMER	EG11737	b0198	metI
G7289-MONOMER	G7289	b2459	eutT
G6417-MONOMER	G6417	b0808	ybiO
MONOMER0-2841	G6790	b1500	safA
EG10167-MONOMER	EG10167	b0598	cstA
G7951-MONOMER	G7951	b4377	yjjU
G6120-MONOMER	G6120	b0245	ykfI
G7277-MONOMER	G7277	b2447	yffP
G7248-MONOMER	G7248	b2385	ypdF
PHOSPHO-BASS	EG11614	b4112	basS
G7832-MONOMER	G7832	b4140	fxsA
GLPF-MONOMER	EG10396	b3927	glpF
OPPD-MONOMER	EG10677	b1246	oppD
CYDA-MONOMER	EG10173	b0733	cydA
EG12107-MONOMER	EG12107	b0108	ppdD
G7267-MONOMER	G7267	b2432	yfeY
EG10606-MONOMER	EG10606	b0635	mrdA
G6505-MONOMER	G6505	b0984	gfcD
MONOMER0-4549	G0-17096	b4822	ytgB
G6663-MONOMER	G6663	b1327	ycjY
EG10779-MONOMER	EG10779	b1307	pspD
PTSH-PHOSPHORYLATED	EG10788	b2415	ptsH
EG11014-MONOMER	EG11014	b1763	topB
G7011-MONOMER	G7011	b1838	pphA
EG10669-MONOMER	EG10669	b0957	ompA
EG12015-MONOMER	EG12015	b2134	pbpG
G7555-MONOMER	G7555	b2998	yghW
G7526-MONOMER	G7526	b2950	yggR
EG11378-MONOMER	EG11378	b1684	sufA
EG11595-MONOMER	EG11595	b0781	moaA
MONOMER0-422	EG12281	b3577	yiaM
EG10997-MONOMER	EG10997	b3706	mnmE
POTF-MONOMER	EG11629	b0854	potF
MONOMER0-4392	G0-16687	b4721	ytiD
COBALADENOSYLTRANS-MONOMER	EG10130	b1270	btuR
CDPDIGLYPYPHOSPHA-MONOMER	EG10138	b3918	cdh
EG12123-MONOMER	EG12123	b2289	lrhA
G7408-MONOMER	G7408	b2690	yqaB
G7193-MONOMER	G7193	b2301	yfcF
EG10243-MONOMER	EG10243	b0215	dnaQ
EG11184-MONOMER	EG11184	b3448	yhhA
EG11341-MONOMER	EG11341	b3632	waaQ
HCAT-MONOMER	G7330	b2536	hcaT
G6912-MONOMER	G6912	b1686	menI
G6331-MONOMER	G6331	b0602	ybdN
YAAJ-MONOMER	EG11555	b0007	yaaJ
CCME-MONOMER	EG12055	b2197	ccmE
G7747-MONOMER	G7747	b3413	yhgH
GLTK-MONOMER	EG12662	b0653	gltK
BTUC-MONOMER	EG10127	b1711	btuC
YJIO-MONOMER	EG12576	b4337	mdtM
EG10780-MONOMER	EG10780	b1308	pspE
YLIC-MONOMER	G6431	b0831	gsiC
NAPD-MONOMER	EG12143	b2207	napD
G6783-MONOMER	G6783	b1489	dosP
EG10506-MONOMER	EG10506	b1718	infC
YHBG-MONOMER	EG11680	b3201	lptB
ASL-MONOMER	EG11314	b1131	purB
EG10812-MONOMER	EG10812	b0405	queA
CHEB-MONOMER	EG10147	b1883	cheB
OPPF-MONOMER	EG10678	b1247	oppF
GSK-MONOMER	EG11102	b0477	gsk
G6485-MONOMER	G6485	b0943	ycbV
EG10114-MONOMER	EG10114	b3721	bglB
EG10226-MONOMER	EG10226	b1570	dicA
FADA-MONOMER	EG10278	b3845	fadA
EG10905-MONOMER	EG10905	b4200	rpsF
G6956-MONOMER	G6956	b1762	ynjI
EG11855-MONOMER	EG11855	b3890	yiiF
EG10907-MONOMER	EG10907	b3306	rpsH
G6978-MONOMER	G6978	b1792	yeaO
MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN	EG10601	b1890	motA
EG11073-MONOMER	EG11073	b1749	xthA
MONOMER0-4178	G6318	b0570	cusS
EG11499-MONOMER	EG11499	b3184	yhbE
G7413-MONOMER	G7413	b2710	norV
G7282-MONOMER	G7282	b2452	eutH
MONOMER0-4513	G0-17045	b4799	ysgD
EG12052-MONOMER	EG12052	b2194	ccmH
MONOMER0-2685	G0-10463	b4547	ypfN
TRYPTOPHAN-MONOMER	EG11005	b3708	tnaA
CPXA-MONOMER	EG10163	b3911	cpxA
EG10864-MONOMER	EG10864	b3984	rplA
G6493-MONOMER	G6493	b0955	ycbZ
NUOJ-MONOMER	EG12090	b2280	nuoJ
MDTA	G7113	b2074	mdtA
EG11741-MONOMER	EG11741	b3264	envR
MONOMER0-4434	G0-16750	b4756	yqiD
EG11875-MONOMER	EG11875	b3921	yiiR
ACRF-MONOMER	EG10267	b3266	acrF
G6117-MONOMER	G6117	b0233	yafO
G6459-MONOMER	G6459	b0876	ybjD
ATPA-MONOMER	EG10098	b3734	atpA
MONOMER0-2688	G0-10466	b4551	yheV
G6900-MONOMER	G6900	b1672	ydhW
EG11919-MONOMER	EG11919	b4020	yjbB
G7104-MONOMER	G7104	b2059	wcaA
G6195-MONOMER	G6195	b0330	prpR
G7247-MONOMER	G7247	b2384	ypdE
NUOE-MONOMER	EG12086	b2285	nuoE
ACETYLGLUTKIN-MONOMER	EG10064	b3959	argB
G6675-MONOMER	G6675	b1344	ttcA
EG10618-MONOMER	EG10618	b0924	mukB
LACTALDREDUCT-MONOMER	EG10351	b2799	fucO
EG11320-MONOMER	EG11320	b0413	nrdR
EG11862-MONOMER	EG11862	b3898	frvX
G6863-MONOMER	G6863	b1607	ydgC
ORNDECARBOXDEG-MONOMER	EG10964	b0693	speF
EG10314-MONOMER	EG10314	b4319	fimG
G7194-MONOMER	G7194	b2302	yfcG
EG10625-MONOMER	EG10625	b2733	mutS
G7366-MONOMER	G7366	b2631	rnlB
NARL-MONOMER	EG10643	b1221	narL
ARGS-MONOMER	EG10071	b1876	argS
G6420-MONOMER	G6420	b0817	mntR
G6313-MONOMER	G6313	b0558	ybcV
MONOMER0-4499	G0-17033	b4787	yqiM
EG12391-MONOMER	EG12391	b1705	ydiE
EG10154-MONOMER	EG10154	b0826	moeB
G7368-MONOMER	G7368	b2633	yfjQ
YHIV-MONOMER	EG12241	b3514	mdtF
EVGS-MONOMER	EG11610	b2370	evgS
G7204-MONOMER	G7204	b2333	yfcP
G7757-MONOMER	G7757	b3440	yhhX
G6154-MONOMER	G6154	b0283	paoD
B0486-MONOMER	G6262	b0486	ybaT
EG11309-MONOMER	EG11309	b1406	pdxI
EG11272-MONOMER	EG11272	b1715	pheM
EG10573-MONOMER	EG10573	b1159	mcrA
RPOD-MONOMER	EG10896	b3067	rpoD
EG11385-MONOMER	EG11385	b0606	ahpF
EG10339-MONOMER	EG10339	b0094	ftsA
G7415-MONOMER	G7415	b2734	pphB
G6641-MONOMER	G6641	b1289	ycjD
G7512-MONOMER	G7512	b2899	trhA
G6324-MONOMER	G6324	b0579	ybdF
G7225-MONOMER	G7225	b2356	yfdM
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	EG10088	b3433	asd
PHENPRODIOLDEHYDROG-MONOMER	G7335	b2541	hcaB
HOLO-ENTB	EG10260	b0595	entB
POTB-MONOMER	EG10750	b1125	potB
YCFU-MONOMER	G6573	b1116	lolC
MANNPDEHYDROG-MONOMER	EG10616	b3600	mtlD
EG10455-MONOMER	EG10455	b0178	skp
MONOMER0-2693	G0-10471	b4558	lptM
EG12323-MONOMER	EG12323	b2244	rpnE
EG11149-MONOMER	EG11149	b2479	gcvR
B0612-MONOMER	G6338	b0612	citT
EG11294-MONOMER	EG11294	b1208	ispE
G6467-MONOMER	G6467	b0900	ycaN
NARH-MONOMER	EG10639	b1225	narH
G6571-MONOMER	G6571	b1113	ldtC
FHUC-MONOMER	EG10304	b0151	fhuC
GLYOCARBOLIG-MONOMER	EG11583	b0507	gcl
EG11956-MONOMER	EG11956	b4084	alsK
OPPSYN-MONOMER	EG10017	b3187	ispB
G6182-MONOMER	G6182	b0317	yahC
GKI-MONOMER	EG11175	b3124	garK
MONOMER0-4429	G0-16745	b4751	yoaL
EG10839-MONOMER	EG10839	b3842	rfaH
ICITDEHASE-KIN-PHOSPHA	EG10026	b4016	aceK
TNAB-MONOMER	EG11006	b3709	tnaB
G6638-MONOMER	G6638	b1284	yciT
FERREDOXIN-MONOMER	EG11328	b2525	fdx
MONOMER0-2674	G0-10452	b4533	ynfO
MONOMER0-4299	EG11367	b2786	barA
EG12311-MONOMER	EG12311	b2524	iscX
EG10548-MONOMER	EG10548	b0027	lspA
YIHP-MONOMER	EG11842	b3877	yihP
G7602-MONOMER	G7602	b3083	higB
G6642-MONOMER	G6642	b1295	ymjA
G7285-MONOMER	G7285	b2455	eutE
YRBF-MONOMER	EG12801	b3195	mlaF
EG12434-MONOMER	EG12434	b3055	ygiM
G6480-MONOMER	G6480	b0938	elfA
G7006-MONOMER	G7006	b1833	letA
G6670-MONOMER	G6670	b1338	abgA
EG10595-MONOMER	EG10595	b4171	miaA
MONOMER0-4413	G0-16731	b4736	yliM
URPHOS-MONOMER	EG11045	b3831	udp
NARV-MONOMER	EG10644	b1465	narV
CYSA-MONOMER	EG10183	b2422	cysA
EG20253-MONOMER	EG20253	b3569	xylR
G7855-MONOMER	G7855	b4192	ulaG
G7734-MONOMER	G7734	b3382	yhfY
G7647-MONOMER	G7647	b3153	yhbO
PHOSPHO-ARCB717	EG10062	b3210	arcB
PHNK-MONOMER	EG10720	b4097	phnK
EG11306-MONOMER	EG11306	b0628	lipA
MONOMER0-2383	EG10245	b0470	dnaX
EG10627-MONOMER	EG10627	b2961	mutY
PHOSPHO-DPIB	G6345	b0619	dpiB
EG10329-MONOMER	EG10329	b3635	mutM
EG11217-MONOMER	EG11217	b4397	creA
EG11144-MONOMER	EG11144	b2327	yfcA
AMINEOXID-MONOMER	EG13139	b1386	tynA
G7919-MONOMER	G7919	b4309	nanS
HISQ-MONOMER	EG12125	b2308	hisQ
G6698-MONOMER	G6698	b1375	ynaE
EG11684-MONOMER	EG11684	b3655	yicH
MONOMER0-4511	G0-17043	b4797	yicU
G7732-MONOMER	G7732	b3380	yhfW
G7216-MONOMER	G7216	b2346	mlaA
SUCCSEMIALDDEHYDROG-MONOMER	EG11329	b2661	gabD
G7424-MONOMER	G7424	b2748	ftsB
XYLISOM-MONOMER	EG11074	b3565	xylA
GAPDH-A-MONOMER	EG10367	b1779	gapA
G7612-MONOMER	G7612	b3098	yqjD
G7158-MONOMER	G7158	b2245	yfaU
ADENYL-KIN-MONOMER	EG10032	b0474	adk
PUTA-MONOMER	EG10801	b1014	putA
FEOB-MONOMER	EG12102	b3409	feoB
G7257-MONOMER	G7257	b2409	yfeR
TRKH-MONOMER	EG11021	b3849	trkH
G7172-MONOMER	G7172	b2259	pmrD
G7343-MONOMER	G7343	b2549	yphG
MONOMER0-1922	G0-9962	b4618	tisB
EG10872-MONOMER	EG10872	b3983	rplK
EG11224-MONOMER	EG11224	b1947	fliO
EG10926-MONOMER	EG10926	b2011	sbcB
G6286-MONOMER	G6286	b0517	allD
MONOMER0-4141	G7345	b2556	glrK
YIEO-MONOMER	EG11732	b3754	hsrA
MONOMER0-2654	G0-10432	b4504	ykfH
CARDIOLIPSYN-MONOMER	EG11608	b1249	clsA
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON	G6365	b0662	ubiF
G6699-MONOMER	G6699	b1376	uspF
APPB-MONOMER	EG11379	b0979	appB
G7361-MONOMER	G7361	b2626	yfjJ
G7836-MONOMER	G7836	b4146	epmB
G7203-MONOMER	G7203	b2332	yfcO
G7489-MONOMER	G7489	b2870	ygeW
CCMA-MONOMER	EG12059	b2201	ccmA
G6353-MONOMER	G6353	b0646	djlB
PHOSPHO-BARA-ASP	EG11367	b2786	barA
G7877-MONOMER	G7877	b4243	ridA
G7176-MONOMER	G7176	b2269	elaD
EG10202-MONOMER	EG10202	b3182	dacB
OX-FERREDOXIN	EG11328	b2525	fdx
MONOMER0-4515	G0-17047	b4801	ykiE
HCAD-MONOMER	G7336	b2542	hcaD
HYCD-MONOMER	EG10477	b2722	hycD
PD00237	EG10562	b3418	malT
G7517-MONOMER	G7517	b2920	scpC
EG11505-MONOMER	EG11505	b1842	holE
DSERDEAM-MONOMER	EG10249	b2366	dsdA
EG11059-MONOMER	EG11059	b2319	usg
MONOMER0-4457	EG12007	b2126	btsS
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO	EG10316	b0179	lpxD
EG11853-MONOMER	EG11853	b3888	fabY
G7572-MONOMER	G7572	b3022	mqsR
ABC-MONOMER	EG11621	b0199	metN
E2P-MONOMER	EG10025	b0115	aceF
EG10673-MONOMER	EG10673	b0565	ompT
ENTB-MONOMER	EG10260	b0595	entB
EG11983-MONOMER	EG11983	b2034	wbbI
PROP-MONOMER	EG11612	b4111	proP
G7753-MONOMER	G7753	b3434	yhgN
EG12293-MONOMER	EG12293	b3589	yiaY
G7072-MONOMER	G7072	b1988	nac
EG11203-MONOMER	EG11203	b3865	yihA
B0427-MONOMER	G6241	b0427	yajR
G7497-MONOMER	G7497	b2878	ygfK
EG11371-MONOMER	EG11371	b2560	pgpC
EG11598-MONOMER	EG11598	b0785	moaE
CYOB-MONOMER	EG10179	b0431	cyoB
EG11189-MONOMER	EG11189	b3621	waaC
DETHIOBIOTIN-SYN-MONOMER	EG10120	b0778	bioD
UXAC-MONOMER	G81	b3092	uxaC
EG12379-MONOMER	EG12379	b1868	yecE
CYTOCHROMEC-MONOMER	EG11945	b4071	nrfB
H2PTERIDINEPYROPHOSPHOKIN-MONOMER	EG11374	b0142	folK
CFA-MONOMER	EG11531	b1661	cfa
NIKC-MONOMER	EG12077	b3478	nikC
PHOSPHO-PHOP	EG10731	b1130	phoP
ACEF-DIHYDROLIPOATE	EG10025	b0115	aceF
G7379-MONOMER	G7379	b2644	yfjY
EG11936-MONOMER	EG11936	b4057	yjbR
EG11133-MONOMER	EG11133	b1708	nlpC
YDEF-MONOMER	EG11640	b1534	ydeE
DLACTDEHYDROGNAD-MONOMER	G592	b1380	ldhA
G7488-MONOMER	G7488	b2869	ygeV
B1691-MONOMER	G6917	b1691	ydiN
NARY-MONOMER	EG10647	b1467	narY
G7331-MONOMER	G7331	b2537	hcaR
MONOMER0-4478	G0-17011	b4765	yadX
G6737-MONOMER	G6737	b1422	ydcI
DEOD-MONOMER	EG10222	b4384	deoD
YIHO-MONOMER	EG11841	b3876	yihO
EG11271-MONOMER	EG11271	b2598	pheL
GDHA-MONOMER	EG10372	b1761	gdhA
G6607-MONOMER	G6607	b1167	ymgC
QOR-MONOMER	EG11492	b4051	qorA
EG11520-MONOMER	EG11520	b3483	yhhH
EG12799-MONOMER	EG12799	b3193	mlaD
EG11099-MONOMER	EG11099	b0456	ybaA
YCAM	G6466	b0899	ycaM
CRR-MONOMER	EG10165	b2417	crr
MONOMER0-1564	G0-9563	b4412	hokC
G7658-MONOMER	G7658	b3191	mlaB
G6983-MONOMER	G6983	b1797	yeaR
OX-GLUTAREDOXIN-C	EG12294	b3610	grxC
G7620-MONOMER	G7620	b3106	yhaK
MONOMER0-4514	G0-17046	b4800	ytgA
PD00369	EG11965	b3601	mtlR
EG10942-MONOMER	EG10942	b3590	selB
G6886-MONOMER	G6886	b1646	sodC
EG11388-MONOMER	EG11388	b1925	fliS
LACTALDDEHYDROG-MONOMER	EG10035	b1415	aldA
AROD-MONOMER	EG10076	b1693	aroD
EG12049-MONOMER	EG12049	b2188	lapC
EG10122-MONOMER	EG10122	b3412	bioH
EG11690-MONOMER	EG11690	b3663	yicN
ORNDECARBOX-BIO-MONOMER	EG10961	b2965	speC
PPENTOMUT-MONOMER	EG10220	b4383	deoB
G6581-MONOMER	G6581	b1135	rluE
G7287-MONOMER	G7287	b2457	eutM
EG11353-MONOMER	EG11353	b3626	waaJ
G7648-MONOMER	G7648	b3154	yhbP
GPMA-MONOMER	EG11699	b0755	gpmA
G6314-MONOMER	G6314	b0559	ybcW
PROTOHEME-FERROCHELAT-MONOMER	EG10431	b0475	hemH
SGCC-MONOMER	EG12556	b4304	sgcC
MONOMER0-4488	G0-17022	b4776	ynfU
UHPT-MONOMER	EG11054	b3666	uhpT
SGAT-MONOMER	G7856	b4193	ulaA
G6381-MONOMER	G6381	b0712	pxpC
G7156-MONOMER	G7156	b2229	yfaT
GLYCEROL-KIN-MONOMER	EG10398	b3926	glpK
PD00444	EG10353	b2805	fucR
UGPE-MONOMER	EG11049	b3451	ugpE
SECB	EG10937	b3609	secB
ARCD-MONOMER	G6861	b1605	ydgI
EG11398-MONOMER	EG11398	b3510	hdeA
EG11820-MONOMER	EG11820	b1056	yceI
G7715-MONOMER	G7715	b3346	yheO
EG10846-MONOMER	EG10846	b3593	rhsA
EG11267-MONOMER	EG11267	b3563	yiaB
MONOMER0-4246	G0-10529	G0-10529	insEF2
EG10245-MONOMER	EG10245	b0470	dnaX
EG10724-MONOMER	EG10724	b4093	phnO
G6839-MONOMER	G6839	b1581	rspA
G7714-MONOMER	G7714	b3345	tusD
EG11849-MONOMER	EG11849	b3884	csqR
EG11345-MONOMER	EG11345	b1132	hflD
DPPD-MONOMER	EG12627	b3541	dppD
EG11713-MONOMER	EG11713	b3689	yidR
CHAINI-MONOMER	EG10069	b4254	argI
G7093-MONOMER	G7093	b2042	galF
EG10218-MONOMER	EG10218	b2314	dedD
YDDS-MONOMER	G6781	b1487	ddpA
G6847-MONOMER	G6847	b1589	ynfG
G6988-MONOMER	G6988	b1802	yeaW
G6335-MONOMER	G6335	b0608	ybdR
EG12197-MONOMER	EG12197	b0687	seqA
FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN	G362	b1077	flgF
UMPKI-MONOMER	EG11539	b0171	pyrH
EG12633-MONOMER	EG12633	b3034	nudF
G6496-MONOMER	G6496	b0961	yccF
G6608-MONOMER	G6608	b1168	pdeG
EG10321-MONOMER	EG10321	b1923	fliC
G6961-MONOMER	G6961	b1774	ydjJ
MONOMER0-4394	G0-16689	b4724	ynfQ
EG12147-MONOMER	EG12147	b3206	npr
G7617-MONOMER	G7617	b3103	yhaH
G7553-MONOMER	G7553	b2989	yghU
G7005-MONOMER	G7005	b1832	msrC
CORA-MONOMER	EG11463	b3816	corA
EG10712-MONOMER	EG10712	b4107	yjdN
PD00261	EG10365	b2151	galS
G6992-MONOMER	G6992	b1808	yoaA
G7324-MONOMER	G7324	b2529	iscU
G7212-MONOMER	G7212	b2341	fadJ
EG10246-MONOMER	EG10246	b0211	mltD
GLUTAREDOXIN-MONOMER	EG10417	b0849	grxA
MONOMER0-4493	G0-17027	b4781	evgL
DTDPDEHYRHAMREDUCT-MONOMER	EG12411	b2040	rfbD
EG10903-MONOMER	EG10903	b3296	rpsD
G7397-MONOMER	G7397	b2667	ygaV
EG11445-MONOMER	EG11445	b2918	argK
G6413-MONOMER	G6413	b0804	ybiX
G6442-MONOMER	G6442	b0844	ybjI
MONOMER0-4257	G0-10544	G0-10544	insCD4
EG10463-MONOMER	EG10463	b0161	degP
L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	EG10382	b3729	glmS
G7608-MONOMER	G7608	b3090	ygjV
MGTA-MONOMER	EG12525	b4242	mgtA
XANTHOSINEPHOSPHORY-MONOMER	G85	b2407	xapA
EG11920-MONOMER	EG11920	b4021	pepE
G7915-MONOMER	G7915	b4303	sgcQ
G6577-MONOMER	G6577	b1120	cobB
EG12384-MONOMER	EG12384	b0521	ybcF
B2098-MONOMER	G7130	b2098	yegT
EG10542-MONOMER	EG10542	b0439	lon
G7326-MONOMER	G7326	b2531	iscR
G6799-MONOMER	G6799	b1512	lsrR
NUON-MONOMER	EG12093	b2276	nuoN
FUCULOKIN-MONOMER	EG10350	b2803	fucK
PDXA-MONOMER	EG10691	b0052	pdxA
G6363-MONOMER	G6363	b0660	ybeZ
LYSS-CPLX	EG10552	b2890	lysS
COPROGENOXI-MONOMER	EG12189	b2436	hemF
G6494-MONOMER	G6494	b0959	sxy
G6856-MONOMER	G6856	b1598	ydgD
PHNC-MONOMER	EG10713	b4106	phnC
ZNUA-MONOMER	G7017	b1857	znuA
EG11515-MONOMER	EG11515	b3215	yhcA
EG10143-MONOMER	EG10143	b1735	chbR
G7355-MONOMER	G7355	b2611	ypjD
G7200-MONOMER	G7200	b2325	yfcL
EG10600-MONOMER	EG10600	b4142	groS
PDXH-MONOMER	EG11487	b1638	pdxH
EG11785-MONOMER	EG11785	b2577	yfiE
EG12448-MONOMER	EG12448	b0567	ybcH
EG11735-MONOMER	EG11735	b1019	efeB
G6364-MONOMER	G6364	b0661	miaB
MONOMER0-2840	G0-10616	b4655	ythA
YEHX-MONOMER	EG12010	b2129	yehX
TRKG-MONOMER	EG11020	b1363	trkG
DMBPPRIBOSYLTRANS-MONOMER	EG12151	b1991	cobT
PD02233	EG10820	b1951	rcsA
G6444-MONOMER	G6444	b0846	rcdA
PTSH-MONOMER	EG10788	b2415	ptsH
ACPSUB-MONOMER	G6343	b0617	citD
DIHYDROPTERIREDUCT-MONOMER	EG50005	b0578	nfsB
G6460-MONOMER	G6460	b0877	ybjX
RIBOKIN-MONOMER	EG10818	b3752	rbsK
EG11495-MONOMER	EG11495	b3511	hdeD
G7056-MONOMER	G7056	b1968	hprS
MONOMER0-4346	G0-16638	b4709	insA9
YCEE-MONOMER	EG11343	b1053	mdtG
G6902-MONOMER	G6902	b1674	ydhY
AQPZ-MONOMER	EG13270	b0875	aqpZ
G7638-MONOMER	G7638	b3143	yraI
G6243-MONOMER	G6243	b0442	ybaV
BAER-MONOMER	EG11618	b2079	baeR
CYOA-MONOMER	EG10178	b0432	cyoA
G6415-MONOMER	G6415	b0806	mcbA
B2740-MONOMER	G7421	b2740	ygbN
G6184-MONOMER	G6184	b0319	yahE
G7706-MONOMER	G7706	b3328	gspG
EG10597-MONOMER	EG10597	b1175	minD
EG12395-MONOMER	EG12395	b0735	ybgE
G7173-MONOMER	G7173	b2266	elaB
YBHS-MONOMER	G6410	b0793	ybhS
EG11340-MONOMER	EG11340	b3630	waaP
G6143-MONOMER	G6143	b0271	yagH
EG11905-MONOMER	EG11905	b3946	fsaB
MONOMER0-2825	G0-10601	b4610	ygdT
EG12022-MONOMER	EG12022	b2140	dusC
EG12282-MONOMER	EG12282	b3578	yiaN
G7493-MONOMER	G7493	b2874	yqeA
G7144-MONOMER	G7144	b2145	yeiS
G6247-MONOMER	G6247	b0447	decR
CHEY-MONOMER	EG10150	b1882	cheY
EG12356-MONOMER	EG12356	b3422	rtcR
G6501-MONOMER	G6501	b0967	rlmI
MGLC-MONOMER	EG10594	b2148	mglC
MONOMER0-4389	EG10787	b1101	ptsG
G6664-MONOMER	G6664	b1328	pgrR
EG12139-MONOMER	EG12139	b2555	qseG
TRE6PHYDRO-MONOMER	EG11402	b4239	treC
G7654-MONOMER	G7654	b3160	yhbW
G6913-MONOMER	G6913	b1687	ydiJ
EG11634-MONOMER	EG11634	b1548	nohA
2-DEHYDROPANTOATE-REDUCT-MONOMER	G6239	b0425	panE
G7724-MONOMER	G7724	b4474	frlC
PHOSPHO-RSTA	G6864	b1608	rstA
G6899-MONOMER	G6899	b1671	ydhX
G7429-MONOMER	G7429	b2759	casB
EG11685-MONOMER	EG11685	b3656	yicI
G6716-MONOMER	G6716	b1395	paaH
MONOMER0-561	G0-8601	b4467	glcF
