Accession Number,Gene Name
AAC76307.1,tsaC
AAC75731.1,emrR
AAC73346.1,proB
AAC74214.1,phoP
AAC77025.1,aphA
AAC75033.1,hchA
AAC73279.1,map
AAC75051.1,ldtA
AAC73139.1,fkpB
AAC74314.1,purU
AAC74260.1,minC
AAC76614.1,selB
AAC73460.2,frmR
AAC73489.1,proC
AAC73608.1,allR
AAC76381.1,yhfA
AAC75938.1,yqfB
ABD18701.1,yheV
AAC74763.1,aroD
AAC75269.1,eco
AAC75788.1,ispF
AAC74415.1,uspE
AAC76013.1,glcG
AAC75873.1,tas
AAC73254.2,pcnB
AAC74952.1,cheY
AAC73324.1,ivy
AAC73432.1,yahO
AAC74031.1,pyrD
AAC73977.2,lolA
AAC73427.1,yahJ
AAC73957.1,ltaE
AAC76163.1,prlF
AAC77348.1,ytjC
AAC73544.1,ppiD
AAC75326.1,elaB
AAC76269.1,argR
AAC74049.2,mgsA
AAC76816.1,uvrD
AAC76425.1,hslR
AAC74013.1,gloC
AAC73583.1,ybaK
AAC73494.1,ppnP
AAC75385.1,yfcL
REVERSE_AAC77305.1,yfcL
AAD13449.1,dtd
AAC74683.1,fumC
AAC73915.1,iaaA
AAC76196.2,deaD
AAC73899.1,dps
AAC73694.1,entC
AAC75468.1,ptsH
AAC76506.1,nikR
AAC74191.1,nagZ
AAC75735.1,gshA
AAC73582.1,ushA
AAC75985.2,yqgE
AAC74087.1,agp
AAC75347.1,nuoB
AAC77171.1,cysQ
AAT48124.1,yaeP
AAC76060.1,ygiW
AAC74162.1,flgG
AAC74065.1,appA
AAC74462.1,ldhA
AAC73925.2,gstB
AAC75375.1,folC
AAC75646.1,raiA
AAC75518.1,tktB
AAC77011.2,plsB
AAC76943.1,oxyR
AAC74333.2,yciI
AAC75620.1,rnc
AAC77024.1,tyrB
AAC74853.1,yeaG
AAC77107.1,efp
AAT48170.1,tdcE
AAC77132.1,hflC
AAC73733.1,dacA
AAC74261.1,ycgJ
AAC77130.1,hflX
AAC73511.1,secD
AAC75403.2,yfcZ
AAC75948.1,zapA
AAC77136.2,rnr
AAC76090.1,ygiF
AAC73353.1,ykfB
AAC75856.2,amiC
AAC74691.1,hdhA
AAC74359.1,ribA
AAC74154.1,flgN
AAC74512.1,tehB
AAC74973.2,yecJ
AAC73565.1,acrA
AAC76834.1,udp
AAC75244.1,rsuA
AAC73231.1,speD
AAC73914.1,moeA
AAC76764.1,mnmG
AAC74560.1,ddpA
AAT48129.1,oppD
AAC77192.1,tldE
AAC73909.1,ybiV
AAC76551.2,kdgK
AAC76992.1,rluF
AAC76441.1,malQ
AAC73491.1,aroL
AAC74674.1,pntB
AAC74204.2,pntB
AAC75354.2,yfbU
AAC73199.1,murD
AAC74282.4,dhaM
AAC74997.1,yedF
AAC74008.1,mukF
AAC76219.1,ispB
AAC74655.1,ynfB
AAC74426.1,ttcA
AAC76224.1,mlaC
AAC74656.1,speG
AAC75174.2,mrp
AAC76684.1,nlpA
AAC75073.1,tsuB
AAC76265.2,zapG
AAC77305.1,hsdM
AAC76200.1,truB
AAC73535.1,cyoA
AAC73553.1,glnK
AAC73738.2,rsfS
AAC76720.1,yidA
AAC73140.1,ispH
AAC74980.2,uvrC
AAC74813.1,spy
AAC73771.1,nagA
AAC76148.2,tdcF
AAC75712.1,kbp
AAC73189.1,ilvH
AAC77039.1,acs
AAC74255.2,ymgD
AAT48235.1,cpxP
AAC74752.1,sufC
AAC76736.1,yieF
AAC73818.1,sdhB
AAC77019.3,dusA
AAC74009.2,mukE
AAC74034.1,rlmL
AAC76190.1,yhbS
AAT48228.1,tatB
AAC73485.1,iraP
AAC76234.1,rpoN
AAT48205.1,yieP
AAC73120.1,mog
AAC73574.1,recR
AAC76071.2,tolC
AAC73526.1,thiI
AAC73711.1,rnk
AAC73212.1,yacG
AAC76236.1,ptsN
AAC76373.1,slyX
AAC75656.1,trmD
AAC77335.1,deoA
AAC74358.1,acnA
AAC74753.2,sufB
AAC73330.1,dinJ
AAC73242.1,panD
AAC75327.1,elaA
